UTC - 12,Baker Island
UTC - 11,"Alofi, Pago Pago"
UTC - 10,"Papeete, Honolulu"
UTC - 9,"Juneau, Anchorage"
UTC - 8,"Los Angeles, Vancouver, Tijuana"
UTC - 7,"Phoenix, Denver, Edmonton, Ojinaga"
UTC - 6,"Guatemala, San Jose, San Salvador, Mexico, Chicago, Winnipeg"
UTC - 5,"Lima, Bogota, Kingston, La Havane, New York, Toronto"
UTC - 4,"Santo Domingo, Caracas, Halifax Cuiaba, Asuncion, Santiago"
UTC - 3:30,Saint - Jean
UTC - 3,"Buenos Aires, Montevideo, Nuuk, Sao Paulo"
UTC - 2,King Edward Point de
UTC - 1,"Praia, Ponta Delgada, Ittoqqortoormiit"
UTC,"Accra, Dakar, Reykjavik, Londres, Dublin, Lisbonne"
UTC + 1,"Tunis, Casablanca, Lagos, Berlin, Vienne, Rome, Oslo, PARIS"
UTC + 2,"Le Caire, Johannesburg, Khartoum, Athenes, Bucarest, Helsinki, Kiev, Jerusalem, Beyrouth"
UTC + 3,"Moscou, Riyad, Bagdad, Doha, Minsk, Nairobi, Istanbul"
UTC + 3:30,Teheran
UTC + 4,"Mascate, Bakou, Dubai, Samara"
UTC + 4:30,Kaboul
UTC + 5,"Male, Tachkent, Karachi, Ekaterinbourg"
UTC + 5:30,"Mumbai, Chennai, Calcutta, Colombo"
UTC + 5:45,Katmandou
UTC + 6,"Dhaka, Thimphu, Bichkek, Almaty, Omsk"
UTC + 6:30,Yangon
UTC + 7,"Jakarta, Bangkok, Ho-Chi-Minh-Ville, Krasnoyarsk"
UTC + 8,"Shanghai, Pekin, Hong Kong, Taipei, Manille, Kuala Lumpur, Singapour, Makassar, Irkoutsk, Perth"
UTC + 8:45,Eucla
UTC + 9,"Tokyo, Seoul, Pyongyang, Jayapura, Yakutsk"
UTC + 9:30,"Darwin, Adelaide"
UTC + 10,"Port Moresby, Vladivostok, Sydney, Melbourne"
UTC + 10:30,Lord Howe Island
UTC + 11,"Port Vila, Noumea, Honiara, Magadan"
UTC + 12,"Tarawa, Auckland, Suva"
UTC + 12:45,Chatham Islands
UTC + 13,"Nuku'alofa, Apia"
UTC + 14,Iles ligne
