TRASH
;
COUNTRY_GERMANY Germany
COUNTRY_AUSTRIA Austria
COUNTRY_ENGLAND England
COUNTRY_ITALY Italy
COUNTRY_FRANCE France
COUNTRY_RUSSIA Russia
COUNTRY_TURKEY Turkey
;
COUNTRYMAN_GERMANY German 
COUNTRYMAN_AUSTRIA Austrian
COUNTRYMAN_ENGLAND English 
COUNTRYMAN_ITALY Italian 
COUNTRYMAN_FRANCE French 
COUNTRYMAN_RUSSIA Russian 
COUNTRYMAN_TURKEY Turkish 
;
TYPE_ARMY A
TYPE_FLEET F 
;
ACTION_HOLD H
ACTION_ATTACK -
ACTION_SUPPORT S
ACTION_CONVOY C
;
ACTION_RETREAT R 
ACTION_DISBAND A
;
ACTION_REMOVE -
ACTION_BUILD + 
ACTION_WAIVE (waive)
;
COAST_NORTH nc 
COAST_SOUTH sc 
COAST_EAST ec 
COAST_OPEN 
COAST_CLOSE 
COAST_BEFORE
;
; special
;
SPECIFIC_STPNC stpnc
SPECIFIC_STPSC stpsc
SPECIFIC_BULEC bulec
SPECIFIC_BULSC bulsc
SPECIFIC_SPANC spanc
SPECIFIC_SPASC spasc
;

REGION_ADR 	ADR
REGION_AEG 	AEG
REGION_ALB 	Alb
REGION_ANK 	Ank
REGION_APU 	Apu
REGION_ARM 	Arm
REGION_BAL 	BAL
REGION_BAR 	BAR
REGION_BEL 	Bel 
REGION_BER 	Ber 
REGION_BLA 	BLA 
REGION_BOH 	Boh
REGION_BOT	BOT
REGION_BRE 	Bre
REGION_BUD 	Bud
REGION_BUL 	Bul
REGION_BUR 	Bur
REGION_CLY 	Cly
REGION_CON	Con
REGION_DEN 	Den
REGION_EAS	EAS
REGION_EDI 	Edi
REGION_ENG 	ENG
REGION_FIN 	Fin
REGION_GAL 	Gal
REGION_GAS 	Gas
REGION_GOL 	GOL 
REGION_GRE 	Gre
REGION_HEL 	HEL
REGION_HOL 	Hol
REGION_ION 	ION
REGION_IRI	IRI
REGION_KIE 	Kie 
REGION_LON 	Lon
REGION_LVN	Lvn
REGION_LVP	Lvp
REGION_MID 	MID
REGION_MAR 	Mar
REGION_MOS 	Mos
REGION_MUN 	Mun
REGION_NAT	NAT
REGION_NAF 	Naf
REGION_NAP 	Nap
REGION_NRG	NRG
REGION_NTH	NTH
REGION_NWY	Nwy
REGION_PAR 	Par
REGION_PIC 	Pic
REGION_PIE 	Pie
REGION_POR 	Por
REGION_PRU 	Pru
REGION_ROM 	Rom
REGION_RUH 	Ruh
REGION_RUM	Rum
REGION_SER 	Ser
REGION_SEV 	Sev
REGION_SIL 	Sil
REGION_SKA 	SKA
REGION_SMY 	Smy
REGION_SPA	Spa
REGION_STP 	Stp
REGION_SWE 	Swe
REGION_SYR 	Syr
REGION_TRI 	Tri
REGION_TUN 	Tun
REGION_TUS 	Tus
REGION_TYR 	Tyr
REGION_TYN	TYN
REGION_UKR 	Ukr
REGION_VEN 	Ven
REGION_VIE 	Vie
REGION_WAL 	Wal
REGION_WAR 	War
REGION_WES	WES
REGION_YOR 	Yor
 
NOTATION_VIA_CONVOY Via_Convoy

