Tblitz_2022_01,Flasheur,Joueur 90,Joueur 47,Joueur 79,Joueur 52,Leandro,Joueur 75,Morfondus
Tblitz_2022_02,ZebulonZirbou,Joueur 97,Joueur 77,Leandro,Joueur 94,Joueur 35,Joueur 49,PetarPopara
Tblitz_2022_03,ZebulonZirbou,Flasheur,Joueur 78,Pierrot,Littlefinger,Joueur 91,Joueur 39,Joueur 35
Tblitz_2022_04,groschat,Joueur 64,Littlefinger,Joueur 95,Flasheur,Joueur 57,Joueur 51,Joueur 74
Tblitz_2022_05,Flasheur,Joueur 89,Joueur 96,Bretzel,Joueur 44,Joueur 74,Joueur 38,Joueur 65
Tblitz_2022_06,groschat,Joueur 71,cyrille,Blabega,Joueur 39,Joueur 94,Joueur 58,Joueur 61
Tblitz_2022_07,Flasheur,Joueur 78,Joueur 92,Joueur 68,Leandro,Joueur 44,Joueur 83,Eryos
Tblitz_2022_08,ZebulonZirbou,Joueur 80,Joueur 49,Robin84,Joueur 77,Elric_S,Joueur 79,Joueur 51
Tblitz_2022_09,groschat,Joueur 49,Joueur 91,Joueur 76,Joueur 100,Joueur 65,Stradivarius,Joueur 84
Tblitz_2022_10,Flasheur,Joueur 38,Joueur 57,Joueur 34,PetarPopara,Warguy,Fullofhate,Joueur 66
Tblitz_2022_11,Flasheur,Joueur 77,Joueur 95,Truk,Joueur 61,Joueur 60,Joueur 47,Joueur 97
Tblitz_2022_12,groschat,Blabega,Joueur 55,Joueur 89,Truk,PetarPopara,Lorenzo,Joueur 79
Tblitz_2022_13,groschat,ZebulonZirbou,Joueur 71,Joueur 37,Eryos,Joueur 87,Kakitaievitch,Joueur 50
Tblitz_2022_14,Flasheur,Joueur 83,PetarPopara,Littlefinger,groschat,V2PT,Joueur 55,CaptainYo
Tblitz_2022_15,ZebulonZirbou,Joueur 91,Joueur 73,groschat,V2PT,Joueur 92,Robin84,Joueur 75
Tblitz_2022_16,ZebulonZirbou,Joueur 63,groschat,Joueur 60,cyrille,Joueur 38,Von_Choucroutehausen,Joueur 80
Tblitz_2022_17,ZebulonZirbou,Joueur 36,Joueur 43,Joueur 80,Joueur 78,Joueur 63,Joueur 88,cyrille
Tblitz_2022_18,ZebulonZirbou,Joueur 74,Truk,Joueur 85,Pierrot,Lanimal,Joueur 61,Joueur 86
Tblitz_2022_19,ZebulonZirbou,Joueur 55,Joueur 69,Joueur 61,Lanimal,Joueur 96,Joueur 98,V2PT
Tblitz_2022_20,groschat,Lorenzo,Joueur 61,Joueur 91,Joueur 63,Joueur 63,Joueur 50,Stradivarius
Tblitz_2022_21,ZebulonZirbou,Bretzel,Joueur 67,Abydos,Joueur 95,Joueur 90,Joueur 62,Joueur 54
Tblitz_2022_22,groschat,Joueur 93,Leandro,Joueur 46,Joueur 72,Joueur 55,Flasheur,Kakitaievitch
Tblitz_2022_23,Flasheur,Joueur 52,Joueur 84,Joueur 48,Joueur 42,Joueur 79,Joueur 78,Joueur 56
Tblitz_2022_24,ZebulonZirbou,Jean_De_Dreux,Joueur 90,Kakitaievitch,Joueur 55,Joueur 51,Joueur 80,Joueur 59
Tblitz_2022_25,ZebulonZirbou,Joueur 45,Joueur 64,Joueur 94,Jean_De_Dreux,Joueur 61,Warguy,Blabega
Tblitz_2022_26,groschat,Joueur 81,V2PT,Joueur 84,Joueur 58,Pierrot,Eryos,Joueur 57
Tblitz_2022_27,Flasheur,Joueur 37,Joueur 88,Joueur 36,Joueur 43,Joueur 67,Joueur 92,Joueur 90
Tblitz_2022_28,Flasheur,Joueur 82,Lorenzo,Joueur 75,Joueur 86,Joueur 95,Joueur 71,Joueur 47
Tblitz_2022_29,Flasheur,Joueur 50,Joueur 74,Joueur 86,Joueur 88,CaptainYo,Joueur 99,Bretzel
Tblitz_2022_30,Flasheur,Joueur 54,Lafouine,Joueur 73,Joueur 34,Joueur 62,Morfondus,Joueur 49
Tblitz_2022_31,Flasheur,Pierrot,Joueur 46,Joueur 47,Joueur 69,Kakitaievitch,Shani,Joueur 60
Tblitz_2022_32,ZebulonZirbou,Lafouine,Joueur 63,Shani,Bretzel,Truk,Joueur 44,Joueur 52
Tblitz_2022_33,Flasheur,Joueur 86,barjo,Joueur 38,Blabega,Joueur 85,Joueur 35,Joueur 82
Tblitz_2022_34,ZebulonZirbou,cyrille,Eryos,Joueur 87,Joueur 99,Morfondus,Joueur 60,Joueur 98
Tblitz_2022_35,Flasheur,Joueur 51,Joueur 48,Joueur 43,Shani,Joueur 66,CaptainYo,ZebulonZirbou
Tblitz_2022_36,groschat,Joueur 69,Joueur 40,Joueur 53,Joueur 46,Joueur 48,Joueur 72,Joueur 36
Tblitz_2022_37,groschat,Joueur 84,Joueur 34,Joueur 67,Joueur 81,Eryos,PetarPopara,Joueur 38
Tblitz_2022_38,Flasheur,GeneralYankovic,Joueur 70,Joueur 100,Joueur 73,groschat,Joueur 85,Joueur 64
Tblitz_2022_39,Flasheur,Joueur 100,Joueur 39,Joueur 33,Joueur 37,Joueur 97,Jean_De_Dreux,Joueur 94
Tblitz_2022_40,Flasheur,Joueur 61,Joueur 100,barjo,Rymeorsk,Abydos,Lanimal,Joueur 63
Tblitz_2022_41,Flasheur,Joueur 44,Morfondus,Joueur 59,Joueur 56,Joueur 54,Joueur 74,Joueur 95
Tblitz_2022_42,groschat,Joueur 73,Bretzel,Joueur 90,Joueur 75,Von_Choucroutehausen,Joueur 57,Joueur 44
Tblitz_2022_43,groschat,Robin84,Pierrot,Joueur 44,ZebulonZirbou,Joueur 82,Elric_S,Joueur 78
Tblitz_2022_44,groschat,Joueur 46,Joueur 81,Joueur 41,Lafouine,Joueur 39,Bretzel,Joueur 93
Tblitz_2022_45,groschat,Shani,Blabega,Morfondus,Joueur 48,Joueur 99,Joueur 42,Abydos
Tblitz_2022_46,ZebulonZirbou,Joueur 42,Joueur 33,PetarPopara,Abydos,Joueur 36,Joueur 76,Joueur 55
Tblitz_2022_47,ZebulonZirbou,Von_Choucroutehausen,Shani,Warguy,CaptainYo,Joueur 78,Joueur 84,Joueur 81
Tblitz_2022_48,groschat,Joueur 33,Joueur 50,Joueur 65,Joueur 66,Littlefinger,Joueur 45,Joueur 69
Tblitz_2022_49,groschat,Rymeorsk,Joueur 59,Joueur 62,Joueur 84,Joueur 77,Joueur 70,Lanimal
Tblitz_2022_50,Flasheur,Eryos,Joueur 93,Lorenzo,Joueur 50,Joueur 43,Joueur 87,Joueur 62
Tblitz_2022_51,ZebulonZirbou,Joueur 34,Joueur 42,Joueur 88,Joueur 49,Joueur 98,Joueur 64,Fullofhate
